,Athlete,Bodyweight (kg),Snatch (kg),Clean & Jerk (kg),Total (kg),Ranking,Url,Title,Year,Gender
322,Suriya Dattuyawat (THA),68.07,137.5,-1,-1,16,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_69_kg,Weightlifting at the 2004 Summer Olympics – Men's 69 kg,2004,Men
323,Youssef Sbai (TUN),68.41,-1,-1,-1,17,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_69_kg,Weightlifting at the 2004 Summer Olympics – Men's 69 kg,2004,Men
324,Chen Yanqing (CHN),57.17,107.5,130.0,237.5,1,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Women%27s_58_kg,Weightlifting at the 2004 Summer Olympics – Women's 58 kg,2004,Women
325,Ri Song-hui (PRK),57.22,102.5,130.0,232.5,2,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Women%27s_58_kg,Weightlifting at the 2004 Summer Olympics – Women's 58 kg,2004,Women
326,Wandee Kameaim (THA),57.27,102.5,127.5,230.0,3,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Women%27s_58_kg,Weightlifting at the 2004 Summer Olympics – Women's 58 kg,2004,Women
327,Aylin Daşdelen (TUR),57.47,100.0,125.0,225.0,4,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Women%27s_58_kg,Weightlifting at the 2004 Summer Olympics – Women's 58 kg,2004,Women
328,Aleksandra Klejnowska (POL),56.96,97.5,122.5,220.0,5,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Women%27s_58_kg,Weightlifting at the 2004 Summer Olympics – Women's 58 kg,2004,Women
329,Pak Hyon-suk (PRK),57.63,95.0,122.5,217.5,6,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Women%27s_58_kg,Weightlifting at the 2004 Summer Olympics – Women's 58 kg,2004,Women
330,Alexandra Escobar (ECU),56.52,95.0,120.0,215.0,7,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Women%27s_58_kg,Weightlifting at the 2004 Summer Olympics – Women's 58 kg,2004,Women
331,Patmawati Abdul Hamid (INA),57.0,95.0,117.5,212.5,8,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Women%27s_58_kg,Weightlifting at the 2004 Summer Olympics – Women's 58 kg,2004,Women
332,Michaela Breeze (GBR),57.45,92.5,120.0,212.5,9,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Women%27s_58_kg,Weightlifting at the 2004 Summer Olympics – Women's 58 kg,2004,Women
333,Franca Gbodo (NGR),57.47,95.0,117.5,212.5,10,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Women%27s_58_kg,Weightlifting at the 2004 Summer Olympics – Women's 58 kg,2004,Women
334,Maryse Turcotte (CAN),57.29,90.0,120.0,210.0,11,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Women%27s_58_kg,Weightlifting at the 2004 Summer Olympics – Women's 58 kg,2004,Women
335,Zlatina Atanasova (BUL),57.68,90.0,115.0,205.0,12,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Women%27s_58_kg,Weightlifting at the 2004 Summer Olympics – Women's 58 kg,2004,Women
336,Charikleia Kastritsi (GRE),57.48,90.0,110.0,200.0,13,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Women%27s_58_kg,Weightlifting at the 2004 Summer Olympics – Women's 58 kg,2004,Women
337,Namkhaidorjiin Bayarmaa (MGL),57.75,87.5,107.5,195.0,14,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Women%27s_58_kg,Weightlifting at the 2004 Summer Olympics – Women's 58 kg,2004,Women
338,Taner Sağır (TUR),76.1,172.5,202.5,375.0,1,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_77_kg,Weightlifting at the 2004 Summer Olympics – Men's 77 kg,2004,Men
339,Sergey Filimonov (KAZ),76.65,172.5,200.0,372.5,2,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_77_kg,Weightlifting at the 2004 Summer Olympics – Men's 77 kg,2004,Men
340,Reyhan Arabacıoğlu (TUR),76.04,165.0,195.0,360.0,3,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_77_kg,Weightlifting at the 2004 Summer Olympics – Men's 77 kg,2004,Men
341,Viktor Mitrou (GRE),76.11,160.0,200.0,360.0,4,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_77_kg,Weightlifting at the 2004 Summer Olympics – Men's 77 kg,2004,Men
342,Mohammad Hossein Barkhah (IRI),76.39,160.0,197.5,357.5,5,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_77_kg,Weightlifting at the 2004 Summer Olympics – Men's 77 kg,2004,Men
343,Attila Feri (HUN),76.1,155.0,200.0,355.0,6,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_77_kg,Weightlifting at the 2004 Summer Olympics – Men's 77 kg,2004,Men
344,Ivan Stoitsov (BUL),76.26,155.0,200.0,355.0,7,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_77_kg,Weightlifting at the 2004 Summer Olympics – Men's 77 kg,2004,Men
345,Nader Sufyan Abbas (QAT),76.47,160.0,195.0,355.0,8,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_77_kg,Weightlifting at the 2004 Summer Olympics – Men's 77 kg,2004,Men
346,Kim Kwang-hoon (KOR),76.0,155.0,195.0,350.0,9,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_77_kg,Weightlifting at the 2004 Summer Olympics – Men's 77 kg,2004,Men
347,Sebastian Dogariu (ROM),76.96,155.0,190.0,345.0,10,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_77_kg,Weightlifting at the 2004 Summer Olympics – Men's 77 kg,2004,Men
348,Octavio Mejías (VEN),76.46,155.0,187.5,342.5,11,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_77_kg,Weightlifting at the 2004 Summer Olympics – Men's 77 kg,2004,Men
349,Theoharis Trasha (ALB),76.95,160.0,182.5,342.5,12,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_77_kg,Weightlifting at the 2004 Summer Olympics – Men's 77 kg,2004,Men
350,Ingo Steinhöfel (GER),76.43,150.0,185.0,335.0,13,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_77_kg,Weightlifting at the 2004 Summer Olympics – Men's 77 kg,2004,Men
351,Rudolf Lukáč (SVK),76.53,147.5,187.5,335.0,14,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_77_kg,Weightlifting at the 2004 Summer Olympics – Men's 77 kg,2004,Men
352,Mohamed Eshtiwi (LBA),76.83,155.0,180.0,335.0,15,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_77_kg,Weightlifting at the 2004 Summer Olympics – Men's 77 kg,2004,Men
353,Mohamed El-Tantawy (EGY),76.12,145.0,182.5,327.5,16,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_77_kg,Weightlifting at the 2004 Summer Olympics – Men's 77 kg,2004,Men
354,Carlos Andica (COL),76.57,142.5,180.0,322.5,17,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_77_kg,Weightlifting at the 2004 Summer Olympics – Men's 77 kg,2004,Men
355,Chad Vaughn (USA),76.9,145.0,175.0,320.0,18,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_77_kg,Weightlifting at the 2004 Summer Olympics – Men's 77 kg,2004,Men
356,René Hoch (GER),76.41,142.5,170.0,312.5,19,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_77_kg,Weightlifting at the 2004 Summer Olympics – Men's 77 kg,2004,Men
357,Uati Maposua (SAM),76.76,125.0,155.0,280.0,20,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_77_kg,Weightlifting at the 2004 Summer Olympics – Men's 77 kg,2004,Men
358,Gevorg Aleksanyan (ARM),76.92,162.5,-1,-1,21,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_77_kg,Weightlifting at the 2004 Summer Olympics – Men's 77 kg,2004,Men
359,Krzysztof Szramiak (POL),76.93,160.0,-1,-1,22,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_77_kg,Weightlifting at the 2004 Summer Olympics – Men's 77 kg,2004,Men
360,Zhan Xugang (CHN),76.31,-1,-1,-1,23,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_77_kg,Weightlifting at the 2004 Summer Olympics – Men's 77 kg,2004,Men
361,Vasile Hegheduş (ROM),76.99,-1,-1,-1,24,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_77_kg,Weightlifting at the 2004 Summer Olympics – Men's 77 kg,2004,Men
362,Oleg Perepetchenov (RUS),76.67,170.0,195.0,365.0,25,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_77_kg,Weightlifting at the 2004 Summer Olympics – Men's 77 kg,2004,Men
363,Nataliya Skakun (UKR),61.59,107.5,135.0,242.5,1,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Women%27s_63_kg,Weightlifting at the 2004 Summer Olympics – Women's 63 kg,2004,Women
364,Hanna Batsiushka (BLR),62.87,115.0,127.5,242.5,2,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Women%27s_63_kg,Weightlifting at the 2004 Summer Olympics – Women's 63 kg,2004,Women
365,Tatsiana Stukalava (BLR),62.9,100.0,122.5,222.5,3,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Women%27s_63_kg,Weightlifting at the 2004 Summer Olympics – Women's 63 kg,2004,Women
366,Hayet Sassi (TUN),62.5,95.0,120.0,215.0,4,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Women%27s_63_kg,Weightlifting at the 2004 Summer Olympics – Women's 63 kg,2004,Women
367,Kim Soo-kyung (KOR),62.96,92.5,122.5,215.0,5,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Women%27s_63_kg,Weightlifting at the 2004 Summer Olympics – Women's 63 kg,2004,Women
368,Nguyễn Thị Thiết (VIE),61.15,95.0,110.0,205.0,6,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Women%27s_63_kg,Weightlifting at the 2004 Summer Olympics – Women's 63 kg,2004,Women
369,Leila Lassouani (ALG),62.47,85.0,115.0,200.0,7,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Women%27s_63_kg,Weightlifting at the 2004 Summer Olympics – Women's 63 kg,2004,Women
370,Anastasia Tsakiri (GRE),62.08,97.5,-1,-1,8,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Women%27s_63_kg,Weightlifting at the 2004 Summer Olympics – Women's 63 kg,2004,Women
371,Karnam Malleswari (IND),62.83,-1,-1,-1,9,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Women%27s_63_kg,Weightlifting at the 2004 Summer Olympics – Women's 63 kg,2004,Women
372,Giorgi Asanidze (GEO),84.28,177.5,205.0,382.5,1,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_85_kg,Weightlifting at the 2004 Summer Olympics – Men's 85 kg,2004,Men
373,Andrei Rybakou (BLR),84.58,180.0,200.0,380.0,2,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_85_kg,Weightlifting at the 2004 Summer Olympics – Men's 85 kg,2004,Men
374,Pyrros Dimas (GRE),83.15,175.0,202.5,377.5,3,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_85_kg,Weightlifting at the 2004 Summer Olympics – Men's 85 kg,2004,Men
375,Georgios Markoulas (GRE),83.77,167.5,205.0,372.5,4,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_85_kg,Weightlifting at the 2004 Summer Olympics – Men's 85 kg,2004,Men
376,Yuan Aijun (CHN),83.97,167.5,205.0,372.5,5,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_85_kg,Weightlifting at the 2004 Summer Olympics – Men's 85 kg,2004,Men
377,Aliaksandr Anishchanka (BLR),83.69,170.0,200.0,370.0,6,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_85_kg,Weightlifting at the 2004 Summer Olympics – Men's 85 kg,2004,Men
378,Tigran Martirosyan (ARM),82.02,167.5,200.0,367.5,7,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_85_kg,Weightlifting at the 2004 Summer Olympics – Men's 85 kg,2004,Men
379,Song Jong-shik (KOR),84.21,160.0,200.0,360.0,8,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_85_kg,Weightlifting at the 2004 Summer Olympics – Men's 85 kg,2004,Men
380,Héctor Ballesteros (COL),83.7,157.5,197.5,355.0,9,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_85_kg,Weightlifting at the 2004 Summer Olympics – Men's 85 kg,2004,Men
381,Oscar Chaplin (USA),84.97,160.0,190.0,350.0,10,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_85_kg,Weightlifting at the 2004 Summer Olympics – Men's 85 kg,2004,Men
382,Ulanbek Moldodosov (KGZ),83.65,150.0,192.5,342.5,11,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_85_kg,Weightlifting at the 2004 Summer Olympics – Men's 85 kg,2004,Men
383,Richard Scheer (SEY),84.74,140.0,165.0,305.0,12,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_85_kg,Weightlifting at the 2004 Summer Olympics – Men's 85 kg,2004,Men
384,Meamea Thomas (KIR),84.24,130.0,162.5,292.5,13,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_85_kg,Weightlifting at the 2004 Summer Olympics – Men's 85 kg,2004,Men
385,Julian McWatt (GUY),84.69,125.0,147.5,272.5,14,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_85_kg,Weightlifting at the 2004 Summer Olympics – Men's 85 kg,2004,Men
386,Valeriu Calancea (ROM),84.35,160.0,-1,-1,15,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_85_kg,Weightlifting at the 2004 Summer Olympics – Men's 85 kg,2004,Men
387,David Matam (FRA),84.66,167.5,-1,-1,16,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_85_kg,Weightlifting at the 2004 Summer Olympics – Men's 85 kg,2004,Men
388,Zaur Takhushev (RUS),84.29,-1,-1,-1,17,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_85_kg,Weightlifting at the 2004 Summer Olympics – Men's 85 kg,2004,Men
389,Sergo Chakhoyan (AUS),84.15,175.0,-1,-1,18,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_85_kg,Weightlifting at the 2004 Summer Olympics – Men's 85 kg,2004,Men
390,Hamza Abu-Ghalia (LBA),84.52,147.5,-1,-1,19,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_85_kg,Weightlifting at the 2004 Summer Olympics – Men's 85 kg,2004,Men
391,İzzet İnce (TUR),83.45,-1,-1,-1,20,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_85_kg,Weightlifting at the 2004 Summer Olympics – Men's 85 kg,2004,Men
392,Chaehoi Fatihou (COM),81.72,-1,-1,-1,21,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_85_kg,Weightlifting at the 2004 Summer Olympics – Men's 85 kg,2004,Men
393,Liu Chunhong (CHN),68.14,122.5,152.5,275.0,1,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Women%27s_69_kg,Weightlifting at the 2004 Summer Olympics – Women's 69 kg,2004,Women
394,Eszter Krutzler (HUN),68.41,117.5,145.0,262.5,2,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Women%27s_69_kg,Weightlifting at the 2004 Summer Olympics – Women's 69 kg,2004,Women
395,Zarema Kasaeva (RUS),68.67,117.5,145.0,262.5,3,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Women%27s_69_kg,Weightlifting at the 2004 Summer Olympics – Women's 69 kg,2004,Women
396,Slaveyka Ruzhinska (BUL),68.23,115.0,135.0,250.0,4,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Women%27s_69_kg,Weightlifting at the 2004 Summer Olympics – Women's 69 kg,2004,Women
397,Vanda Maslovska (UKR),67.72,110.0,135.0,245.0,5,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Women%27s_69_kg,Weightlifting at the 2004 Summer Olympics – Women's 69 kg,2004,Women
398,Milena Trendafilova (BUL),68.21,105.0,132.5,237.5,6,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Women%27s_69_kg,Weightlifting at the 2004 Summer Olympics – Women's 69 kg,2004,Women
399,Madeleine Yamechi (CMR),68.4,105.0,130.0,235.0,7,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Women%27s_69_kg,Weightlifting at the 2004 Summer Olympics – Women's 69 kg,2004,Women
400,Ubaldina Valoyes (COL),68.31,105.0,127.5,232.5,8,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Women%27s_69_kg,Weightlifting at the 2004 Summer Olympics – Women's 69 kg,2004,Women
401,Irene Ajambo (UGA),68.77,60.0,90.0,150.0,9,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Women%27s_69_kg,Weightlifting at the 2004 Summer Olympics – Women's 69 kg,2004,Women
402,Sibel Şimşek (TUR),68.97,-1,-1,-1,10,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Women%27s_69_kg,Weightlifting at the 2004 Summer Olympics – Women's 69 kg,2004,Women
403,Kang Mi-suk (KOR),68.68,100.0,-1,-1,11,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Women%27s_69_kg,Weightlifting at the 2004 Summer Olympics – Women's 69 kg,2004,Women
404,Milen Dobrev (BUL),92.58,187.5,220.0,407.5,1,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_94_kg,Weightlifting at the 2004 Summer Olympics – Men's 94 kg,2004,Men
405,Khadzhimurat Akkaev (RUS),93.74,185.0,220.0,405.0,2,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_94_kg,Weightlifting at the 2004 Summer Olympics – Men's 94 kg,2004,Men
406,Eduard Tyukin (RUS),93.16,182.5,215.0,397.5,3,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_94_kg,Weightlifting at the 2004 Summer Olympics – Men's 94 kg,2004,Men
407,Shahin Nassirinia (IRI),92.89,172.5,220.0,392.5,4,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_94_kg,Weightlifting at the 2004 Summer Olympics – Men's 94 kg,2004,Men
408,Julio Luna (VEN),93.35,170.0,220.0,390.0,5,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_94_kg,Weightlifting at the 2004 Summer Olympics – Men's 94 kg,2004,Men
409,Hakan Yılmaz (TUR),93.45,175.0,215.0,390.0,6,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_94_kg,Weightlifting at the 2004 Summer Olympics – Men's 94 kg,2004,Men
410,Bakhyt Akhmetov (KAZ),93.56,180.0,210.0,390.0,7,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_94_kg,Weightlifting at the 2004 Summer Olympics – Men's 94 kg,2004,Men
411,Anatoliy Mushyk (UKR),89.33,175.0,212.5,387.5,8,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_94_kg,Weightlifting at the 2004 Summer Olympics – Men's 94 kg,2004,Men
412,Santiago Martínez (ESP),93.35,175.0,207.5,382.5,9,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_94_kg,Weightlifting at the 2004 Summer Olympics – Men's 94 kg,2004,Men
413,Eugen Bratan (MDA),93.1,175.0,205.0,380.0,10,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_94_kg,Weightlifting at the 2004 Summer Olympics – Men's 94 kg,2004,Men
414,Nikolaos Kourtidis (GRE),92.39,167.5,210.0,377.5,11,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_94_kg,Weightlifting at the 2004 Summer Olympics – Men's 94 kg,2004,Men
415,Yoandry Hernández (CUB),90.94,167.5,207.5,375.0,12,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_94_kg,Weightlifting at the 2004 Summer Olympics – Men's 94 kg,2004,Men
416,Tadeusz Drzazga (POL),92.43,170.0,200.0,370.0,13,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_94_kg,Weightlifting at the 2004 Summer Olympics – Men's 94 kg,2004,Men
417,Arsen Kasabiev (GEO),91.2,155.0,207.5,362.5,14,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_94_kg,Weightlifting at the 2004 Summer Olympics – Men's 94 kg,2004,Men
418,Alibay Samadov (AZE),92.7,165.0,195.0,360.0,15,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_94_kg,Weightlifting at the 2004 Summer Olympics – Men's 94 kg,2004,Men
419,Asghar Ebrahimi (IRI),93.72,165.0,190.0,355.0,16,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_94_kg,Weightlifting at the 2004 Summer Olympics – Men's 94 kg,2004,Men
420,Darío Lecman (ARG),93.37,155.0,185.0,340.0,17,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_94_kg,Weightlifting at the 2004 Summer Olympics – Men's 94 kg,2004,Men
421,Furkat Saidov (UZB),85.22,145.0,175.0,320.0,18,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_94_kg,Weightlifting at the 2004 Summer Olympics – Men's 94 kg,2004,Men
422,Junior Faro (ARU),93.82,140.0,167.5,307.5,19,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_94_kg,Weightlifting at the 2004 Summer Olympics – Men's 94 kg,2004,Men
423,Nizami Pashayev (AZE),92.45,-1,-1,-1,20,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_94_kg,Weightlifting at the 2004 Summer Olympics – Men's 94 kg,2004,Men
424,Nikolay Kolev (BUL),92.89,177.5,-1,-1,21,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_94_kg,Weightlifting at the 2004 Summer Olympics – Men's 94 kg,2004,Men
425,Akakios Kakiasvilis (GRE),91.28,180.0,-1,-1,22,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_94_kg,Weightlifting at the 2004 Summer Olympics – Men's 94 kg,2004,Men
426,Najim Al-Radwan (KSA),92.76,-1,-1,-1,23,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_94_kg,Weightlifting at the 2004 Summer Olympics – Men's 94 kg,2004,Men
427,Vadim Vacarciuc (MDA),93.35,-1,-1,-1,24,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_94_kg,Weightlifting at the 2004 Summer Olympics – Men's 94 kg,2004,Men
428,Ramzi Al-Mahrous (KSA),90.81,150.0,-1,-1,25,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_94_kg,Weightlifting at the 2004 Summer Olympics – Men's 94 kg,2004,Men
429,Pawina Thongsuk (THA),69.29,122.5,150.0,272.5,1,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Women%27s_75_kg,Weightlifting at the 2004 Summer Olympics – Women's 75 kg,2004,Women
430,Natalya Zabolotnaya (RUS),74.09,125.0,147.5,272.5,2,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Women%27s_75_kg,Weightlifting at the 2004 Summer Olympics – Women's 75 kg,2004,Women
